Year,IntC3star,ExtBF,IntP,ExtFodder,ExtC3star,IntCF,IntC3oil,ExtP,Abandoned,IntC3C,Urban,ExtC4,UL,IntC4,VExtP,Agrovoltaic,ExtC3C,ExtC3fruitveg,ExtCF,Solar,AF,MW,IntBF,BioenergyG1,BioenergyG2,IntC3fruitveg,IntFodder,ExtC3puls,CW,ExtC3oil
2020,9913251.559521347,5.983785902324611E7,1.4052899869764782E7,3.416230228212513E7,3.413513983686902E7,3.2008601531578254E7,1.006900773162613E7,4.542106287417644E7,0.0,1.0032873186400589E7,0.0,3.418294689408254E7,0.0,9947109.526993623,3.1592890953751653E7,0.0,3.442019836989244E7,3.4101373584571384E7,5.9987397658464104E7,0.0,3.794358809986254E7,6.268746862260118E7,3.189771177400499E7,1.1104479329958526E7,2.8623122500342302E7,1.0066091207029127E7,9931436.893013652,0.0,3.2131690186982747E7,3.430585950024411E7
2021,9942516.794120092,5.998444272111643E7,1.406852416934891E7,3.419151683271469E7,3.4156222035144955E7,3.209982714576342E7,1.0100593827624636E7,4.5529362961021766E7,0.0,1.0056259115679493E7,0.0,3.417095404334974E7,0.0,9978404.899140509,3.1648497063326366E7,0.0,3.44796174674177E7,3.407787652214622E7,6.013813175523424E7,0.0,3.804832710142217E7,6.282336187600816E7,3.198152255704848E7,1.118809814101547E7,2.8337185274656225E7,1.0092029133208739E7,9959978.584741665,0.0,3.3051515626564216E7,3.427556050330054E7
2022,9965590.550974187,6.0134367812893674E7,1.4090126231631782E7,3.426413236639068E7,3.4238363102912754E7,3.219267799393837E7,1.012368748587685E7,4.561487363479632E7,0.0,1.0076768933400841E7,0.0,3.424899093501668E7,0.0,1.000145968238051E7,3.1697569252940662E7,0.0,3.455775007928914E7,3.416646793514914E7,6.028742442663172E7,0.0,3.8068816822486736E7,6.296188518288664E7,3.2064363902826373E7,1.1183006965198059E7,2.8429852681799598E7,1.0116618129749727E7,9980721.54965477,0.0,3.37400701717032E7,3.4380115139590144E7
2023,9989963.501928816,6.0282809965017274E7,1.4116383237298468E7,3.434768666312316E7,3.432676642903892E7,3.2278816034450863E7,1.015752053294932E7,4.5743972597499475E7,0.0,1.0103866717867495E7,0.0,3.431545776341994E7,0.0,1.0025102238912245E7,3.175984032473726E7,0.0,3.464624953268204E7,3.425256587728935E7,6.043984190443403E7,0.0,3.819730461693077E7,6.310175740636845E7,3.215570211735654E7,1.121934328121249E7,2.8593477083166666E7,1.0147037368427223E7,1.0006065936082438E7,0.0,3.469028673428916E7,3.447650231819355E7
2024,1.001399206760352E7,6.0421454241326585E7,1.4145671358529791E7,3.443365389463059E7,3.4405903015339226E7,3.234302040804309E7,1.0179842937104952E7,4.58678911815665E7,0.0,1.0127361219033018E7,0.0,3.43861684575912E7,0.0,1.0046963646239022E7,3.181749621627285E7,0.0,3.473297263671705E7,3.4347514600105576E7,6.05791466975091E7,0.0,3.8245636078659125E7,6.322985931997538E7,3.2222371283020712E7,1.124198862589611E7,2.8708276714269727E7,1.017384191876575E7,1.0029062296726711E7,0.0,3.5538931010816246E7,3.456308074831766E7
2025,1.0041581619821077E7,6.05570740093982E7,1.4182611967542468E7,3.450025685474722E7,3.447582749074099E7,3.2409060414833963E7,1.019510893114651E7,4.601005369118346E7,0.0,1.0148680564382736E7,0.0,3.4452902403354526E7,0.0,1.006908237779145E7,3.1883892889982287E7,0.0,3.479435401440848E7,3.43992598904308E7,6.07153077638013E7,0.0,3.8392924962360986E7,6.335803062624873E7,3.228876214166934E7,1.1260913026866328E7,2.8799012531164564E7,1.019275859021672E7,1.005461944206167E7,0.0,3.650368446095937E7,3.463182953028803E7
2026,1.0063606116056997E7,6.069462331425814E7,1.4209950156280141E7,3.458899219912061E7,3.456987047638375E7,3.247486639554544E7,1.0217239445341809E7,4.611021192261828E7,0.0,1.0180409908424897E7,0.0,3.454961434608643E7,0.0,1.009217615906567E7,3.1939787889796454E7,0.0,3.488036085067116E7,3.451151582938398E7,6.08496846862095E7,0.0,3.8457353033266425E7,6.348712859791187E7,3.2358545146125756E7,1.1289870838520687E7,2.904404530573107E7,1.0218273965958709E7,1.007697237818339E7,0.0,3.718007057068975E7,3.4751541527193405E7
2027,1.0095681048260788E7,6.0829159981644966E7,1.4241944589572856E7,3.46658800974805E7,3.463931179559359E7,3.253867651355173E7,1.0248796823169831E7,4.6246197040688924E7,0.0,1.0215136240030482E7,0.0,3.461970975867287E7,0.0,1.0121513995157806E7,3.2001790641487185E7,0.0,3.495013750415959E7,3.459037642527076E7,6.098771037572539E7,0.0,3.859373302138023E7,6.361603463095347E7,3.242109028383767E7,1.1342701113190688E7,2.8985013732228108E7,1.0244591586951766E7,1.0112597471255546E7,0.0,3.772038118369077E7,3.480712469520504E7
2028,1.0109227754494704E7,6.096564111615189E7,1.423534496822442E7,3.4730596837849185E7,3.469938630112027E7,3.2604854255718946E7,1.0263609216467908E7,4.6312661092856586E7,0.0,1.0234464104973527E7,0.0,3.468589287577422E7,0.0,1.0138854856062826E7,3.2054009930715654E7,0.0,3.502862351034541E7,3.4665035327639714E7,6.1124063638648E7,0.0,3.8673789277878925E7,6.374532369076523E7,3.2484180506711036E7,1.1346909920279304E7,2.8954614946780432E7,1.02639077609734E7,1.0127831297800526E7,0.0,3.8468847398090884E7,3.48884199580563E7
2029,1.0133179982689776E7,6.110398393004931E7,1.43087122408019E7,3.479686772227258E7,3.476091540575489E7,3.268091154245759E7,1.028943701985083E7,4.645243779694815E7,0.0,1.0262382467897682E7,0.0,3.474714284005484E7,0.0,1.0164684601939177E7,3.2114886368314736E7,0.0,3.509182547879385E7,3.4725893456999816E7,6.1262347325039364E7,0.0,3.8743124950652026E7,6.387532991584473E7,3.2550350048472043E7,1.1395436330889827E7,2.915905616184997E7,1.0295674664835975E7,1.0157455710058095E7,0.0,4.035146449145517E7,3.494674173864112E7
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
